t,pos,pin_state
1067768.7138046476,10.319999999999496,1
1073255.2521745248,10.421599999999495,0
2161669.9054109999,40.799999999999493,1
2164365.6861609635,40.90159999999949,0
2851547.3895057435,71.27999999999949,1
2853546.9570158441,71.381599999999494,0
3394935.6536985021,101.75999999999948,1
3396589.3262633178,101.86159999999948,0
3856879.2838073112,132.23999999999947,1
3858319.0829544375,132.34159999999946,0
4265475.6792366402,162.71999999999946,1
4266767.3953234358,162.82159999999945,0
4635806.776544922,193.19999999999945,1
4636988.5464661913,193.30159999999944,0
4977043.9725240627,223.67999999999944,1
4978140.135286158,223.78159999999943,0
5295242.0332280146,254.15999999999943,1
5296269.2693655025,254.26159999999942,0
5594639.1228272291,284.63999999999942,1
5595609.3762080492,284.74159999999944,0
5878334.9149792902,315.11999999999944,1
5879257.0989929084,315.22159999999946,0
6148675.3379034856,345.59999999999945,1
6149556.2918716781,345.70159999999947,0
6407485.230619601,376.07999999999947,1
6408330.3574106479,376.18159999999949,0
6656216.3823065786,406.55999999999949,1
6657030.020801737,406.66159999999951,0
6896045.6619399851,437.03999999999951,1
6896831.3314116783,437.14159999999953,0
7127942.3911005268,467.51999999999953,1
7128703.0466654925,467.62159999999955,0
7355141.3151904736,497.99999999999955,1
7355900.7466557808,498.10159999999956,0
7583871.9603897044,528.47999999999956,1
7584637.4399439143,528.58159999999953,0
7814434.3131378554,558.95999999999958,1
7815205.9612885788,559.06159999999954,0
